"","method","auc","overall_TNR","FPR_min","FPR_maj","FPR_diff","FNR_min","FNR_maj","FNR_diff","min_den_rate"
"1","SVM No Minority Feature - Training Set",0.7088099,57.3803762391695,18.6131386861314,7.62901527119537,10.984123414936,62.8434065934066,68.7250996015936,-5.88169300818703,30.4653204565408
"2","SVM Fair V1 - Training Set",0.7050855,57.3491530715791,19.0997566909976,7.65534491837809,11.4444117726195,64.1483516483516,68.6495397719467,-4.50118812359505,29.8068481123793
"3","SVM Fair V2 - Training Set",0.7048586,57.3491530715791,18.978102189781,7.66192733017378,11.3161748596072,64.217032967033,68.6426706965242,-4.42563772949127,29.7190517998244
"4","SVM No Minority Feature - Test Set",0.7094892,85.3459550351871,25,14.2549019607843,10.7450980392157,56.7934782608696,59.1611479028698,-2.36766964200019,30.8362369337979
"5","SVM Fair V1 - Test Set",0.7051841,85.2276265803077,24.6153846153846,14.3986928104575,10.2166918049271,58.9673913043478,59.4646799116998,-0.497288607351953,29.8780487804878
"6","SVM Fair V2 - Test Set",0.7052359,85.2213987668929,24.6153846153846,14.4052287581699,10.2101558572147,58.9673913043478,59.4922737306843,-0.524882426336504,29.8780487804878
"7","SVM Includes Minority Feature - Training Set",0.7101107,57.446725470299,31.021897810219,6.84570826750921,24.1761895427098,49.3818681318681,69.9546641022118,-20.5727959703437,43.5469710272169
"8","SVM Includes Minority Feature - Test Set",0.7137548,85.563928504702,65.8974358974359,11.9411764705882,53.9562594268477,20.9239130434783,61.8377483443709,-40.9138353008926,70.1219512195122
"9","SVM Includes Minority Feature - Training Set as if All White",0.709401,57.407696510811,18.4914841849148,7.58952080042127,10.9019633844936,63.3241758241758,68.6289325456794,-5.30475672150353,30.1141352063213
"10","SVM Includes Minority Feature - Test Set as if All White",0.7102882,85.4269166095784,25.7692307692308,14.1307189542484,11.6385118149824,55.4347826086957,58.9403973509934,-3.50561474229772,31.794425087108
