"","method","auc","overall_TNR","FPR_min","FPR_maj","FPR_diff","FNR_min","FNR_maj","FNR_diff","min_den_rate"
"1","SVM No Minority Feature - Training Set",0.708639,58.0673938607518,21.654501216545,9.97893628225382,11.6755649342912,60.7142857142857,64.960846270092,-4.24656055580633,32.9236172080773
"2","SVM Fair V1 - Training Set",0.7049792,57.7592149547869,21.7761557177616,10.47261716693,11.3035385508316,62.2252747252747,65.3317763429042,-3.10650161762952,32.0017559262511
"3","SVM Fair V2 - Training Set",0.7052473,57.7632699403917,21.654501216545,10.47261716693,11.1818840496151,62.2252747252747,65.3249072674818,-3.09963254220708,31.9578577699737
"4","SVM No Minority Feature - Test Set",0.7097891,85.7198317696538,27.6923076923077,17.0980392156863,10.5942684766214,52.7173913043478,55.546357615894,-2.82896631154621,33.9721254355401
"5","SVM Fair V1 - Test Set",0.7051643,85.4027822711097,25.5128205128205,17.5294117647059,7.98340874811463,57.0652173913043,56.4569536423841,0.608263748920235,31.0975609756098
"6","SVM Fair V2 - Test Set",0.7050242,85.4027822711097,25.5128205128205,17.5294117647059,7.98340874811463,57.0652173913043,56.4569536423841,0.608263748920235,31.0975609756098
"7","SVM Includes Minority Feature - Training Set",0.7102353,58.184988443291,37.956204379562,8.90600315955766,29.0502012200044,41.2087912087912,66.7124605028163,-25.5036692940251,51.2730465320457
"8","SVM Includes Minority Feature - Test Set",0.7134353,85.9851180847622,84.8717948717949,13.9150326797386,70.9567621920563,7.33695652173913,59.023178807947,-51.6862222862079,87.3693379790941
"9","SVM Includes Minority Feature - Training Set as if All White",0.7092395,58.0471189327278,21.4111922141119,10.0250131648236,11.3861790492883,61.0576923076923,64.960846270092,-3.90315396239973,32.6163301141352
"10","SVM Includes Minority Feature - Test Set as if All White",0.7102108,85.8168877385959,29.1025641025641,16.9281045751634,12.1744595274007,51.0869565217391,55.2980132450331,-4.21105672329398,35.4529616724739
